COUNT(*)	office_address
4	Contrada Penelope 73
3	Incrocio Marini 9
5	Strada Vitali 8 Piano 0
4	Via Mariano 48
3	Borgo Martino 82 Appartamento 07
9	Rotonda Martinelli 309
5	Contrada Amato 58 Piano 2
8	Borgo Elga 89
3	Piazza Ferretti 619
5	Strada Kociss 997 Piano 8
1	Borgo Demis 1
6	Via Eusebio 167 Appartamento 28
3	Contrada Rita 5 Appartamento 71
3	Piazza Demian 856 Appartamento 63
3	Strada Neri 577
4	Borgo Elio 234 Piano 4
3	Contrada Santoro 17 Appartamento 30
6	Rotonda Carmela 10 Piano 1
3	Via Giacinto 11 Piano 8
3	Strada Concetta 6
1	Piazza Aroldo 8 Appartamento 85
3	Via Maika 491
2	Piazza Pellegrino 613 Piano 8
3	Strada Lombardi 855
2	Incrocio Testa 142 Piano 7
1	Borgo Ippolito 5 Piano 5
2	Rotonda Teseo 9
1	Strada Lino 8
1	Via Elga 7 Piano 4
